CarNumber,LastName,Sector,Time,EntryTime,ExitTime,Lap,Flag
16,Servia,S2,10.9677,55943.1685,55954.1362,0,Green
4,Daly,S2,11.2599,55936.9662,55948.2261,0,Green
2,Newgarden,S2,10.4238,57160.2361,57170.6599,0,Green
8,Chilton,S2,10.8302,55921.1458,55931.976,0,Green
27,Andretti,S2,11.0646,56246.6662,56257.7308,0,Green
83,Kimball,S2,10.7245,55953.024,55963.7485,0,Green
98,Rossi,S2,10.9022,55985.976,55996.8782,0,Green
7,Aleshin,S2,10.6358,56193.7596,56204.3954,0,Green
26,Sato,S2,10.9158,55967.0344,55977.9502,0,Green
21,Hildebrand,S2,11.268,55935.5852,55946.8532,0,Green
12,Power,S2,10.9794,57313.3134,57324.2928,0,Green
10,Kanaan,S2,10.6979,56693.4993,56704.1972,0,Green
20,Pigot,S2,10.9706,56823.1096,56834.0802,0,Green
19,Jones,S2,11.0793,56251.8115,56262.8908,0,Green
9,Dixon,S2,10.6813,57198.6984,57209.3797,0,Green
3,Castroneves,S2,10.6941,57191.3077,57202.0018,0,Green
3,Castroneves,S2,10.5699,57267.056,57277.6259,1,Green
15,Rahal,S2,10.6872,57018.5357,57029.2229,1,Green
98,Rossi,S2,10.5946,56063.1753,56073.7699,1,Green
83,Kimball,S2,10.652,56030.4094,56041.0614,1,Green
20,Pigot,S2,10.8351,56902.6948,56913.5299,1,Green
14,Munoz,S2,10.8846,56070.8679,56081.7525,1,Green
18,Gutierrez,S2,11.3865,56744.8468,56756.2333,1,Green
10,Kanaan,S2,10.5379,56773.3518,56783.8897,1,Green
16,Servia,S2,10.8011,56022.5612,56033.3623,1,Green
5,Hinchcliffe,S2,10.5973,56691.4004,56701.9977,1,Green
4,Daly,S2,10.6375,56018.7958,56029.4333,1,Green
2,Newgarden,S2,10.7429,57236.8628,57247.6057,1,Green
8,Chilton,S2,10.8239,55998.8255,56009.6494,1,Green
1,Pagenaud,S2,10.601,56752.1343,56762.7353,1,Green
7,Aleshin,S2,12.3999,56270.2424,56282.6423,1,Red
26,Sato,S2,10.5944,56045.3682,56055.9626,1,Green
21,Hildebrand,S2,10.8777,56014.246,56025.1237,1,Green
12,Power,S2,10.5491,57391.5771,57402.1262,1,Green
28,Hunter-Reay,S2,10.9189,56688.6673,56699.5862,1,Green
3,Castroneves,S2,10.3255,57342.8476,57353.1731,2,Green
15,Rahal,S2,10.4433,57095.5411,57105.9844,2,Green
98,Rossi,S2,10.5198,56139.2231,56149.7429,2,Green
1,Pagenaud,S2,10.5214,56827.5627,56838.0841,2,Green
26,Sato,S2,10.4969,56120.9872,56131.4841,2,Green
21,Hildebrand,S2,10.7741,56092.3024,56103.0765,2,Green
19,Jones,S2,10.9514,56695.2748,56706.2262,2,Green
9,Dixon,S2,10.7041,57472.3864,57483.0905,2,Green
18,Gutierrez,S2,12.1052,56825.0185,56837.1237,2,Green
2,Newgarden,S2,10.6294,57321.0123,57331.6417,2,Green
8,Chilton,S2,10.7294,56076.345,56087.0744,2,Green
27,Andretti,S2,10.988,56712.0663,56723.0543,2,Green
83,Kimball,S2,10.6046,56107.5949,56118.1995,2,Green
20,Pigot,S2,10.7708,56981.5398,56992.3106,2,Green
14,Munoz,S2,10.6329,56149.4687,56160.1016,2,Green
12,Power,S2,10.5074,57468.093,57478.6004,2,Green
28,Hunter-Reay,S2,10.6763,56765.9151,56776.5914,2,Green
10,Kanaan,S2,10.5915,56849.504,56860.0955,2,Green
16,Servia,S2,10.6317,56100.0447,56110.6764,2,Green
5,Hinchcliffe,S2,10.3956,56769.8102,56780.2058,2,Green
4,Daly,S2,10.5112,56095.6199,56106.1311,2,Green
3,Castroneves,S2,10.2724,57418.3152,57428.5876,3,Green
15,Rahal,S2,10.3614,57171.6378,57181.9992,3,Green
98,Rossi,S2,10.3896,56214.5577,56224.9473,3,Green
83,Kimball,S2,10.5606,56184.68,56195.2406,3,Green
20,Pigot,S2,10.8297,57059.8042,57070.6339,3,Green
